x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
173.29,2528.48,75,8,-86.91,12.67,,,
-31.74,2529.06,75,1,-78.43,14.05,,,
980.42,2531.02,75,8,-90.72,6.5,,,
980.24,2531.3,75,2,-91.94,10.39,,,
778.37,2532.05,75,2,-94.95,3.5,,,
375.65,2532.41,75,2,-79.56,16.54,,,
980.16,2532.48,75,2,-93.33,7.73,,,
980.15,2533.21,75,2,-88.69,10.39,,,
980.09,2533.67,75,2,-91.3,10.54,,,
980.1,2533.8,75,2,-94.32,7.58,,,
576.88,2534.9,75,8,-92.54,1.51,,,
-185.8,2539.22,75,2,-81.25,13.42,,,
-230.15,2542.1,75,1,-84.81,11.17,,,
173.29,2543.45,75,8,-85.3,13.3,,,
-31.69,2543.95,75,1,-78.75,14.09,,,
980.44,2545.92,75,13,-89.98,12.69,,,
778.41,2547.07,75,2,-91.38,7.65,,,
375.72,2547.28,75,2,-80.63,14.23,,,
576.88,2549.8,75,8,-92.04,2.92,,,
-186.98,2554.11,75,2,-80.75,13.51,,,
-230.15,2557.06,75,1,-84.51,11.18,,,
173.29,2558.42,75,8,-87.25,11.56,,,
-31.64,2558.82,75,1,-77.97,13.92,,,
980.47,2560.83,75,13,-89.87,10.51,,,
778.47,2562.02,75,2,-91.3,5.85,,,
375.77,2562.18,75,2,-81.01,14.28,,,
576.86,2564.73,75,8,-90.9,3.07,,,
-188.12,2569.01,75,1,-81.19,14.0,,,
-230.14,2572.02,75,1,-84.43,9.85,,,
173.29,2573.38,75,8,-87.94,7.92,,,
-31.58,2573.67,75,1,-78.4,14.4,,,
980.48,2575.71,75,13,-90.59,9.09,,,
778.51,2576.93,75,2,-90.63,8.48,,,
375.82,2577.04,75,2,-81.97,14.47,,,
576.84,2579.67,75,13,-91.22,-4.06,,,
-189.24,2583.87,75,1,-79.72,12.42,,,
-230.13,2586.93,75,1,-84.94,9.55,,,
173.27,2588.3,75,8,-89.83,5.9,,,
-31.52,2588.52,75,1,-78.47,13.42,,,
980.48,2590.61,75,13,-93.48,7.3,,,
778.54,2591.87,75,2,-90.04,8.17,,,
375.85,2591.95,75,2,-81.44,15.01,,,
576.85,2594.61,75,13,-90.38,5.57,,,
-190.38,2598.69,75,1,-80.4,11.13,,,
-230.08,2601.82,75,1,-84.45,9.37,,,
173.25,2603.19,75,8,-88.79,6.49,,,
-31.44,2603.34,75,1,-78.08,15.38,,,
980.49,2605.62,75,13,-95.11,7.5,,,
778.56,2606.76,75,2,-88.5,8.84,,,
375.86,2606.93,75,2,-83.01,12.92,,,
576.87,2609.53,75,13,-91.52,2.34,,,
-191.53,2613.54,75,1,-80.63,11.02,,,
-230.04,2616.72,75,1,-84.12,11.25,,,
173.24,2618.14,75,2,-91.61,7.28,,,
-31.36,2618.15,75,1,-77.34,14.72,,,
980.49,2620.6,75,13,-91.62,10.52,,,
778.6,2621.66,75,2,-91.76,6.23,,,
375.87,2621.92,75,2,-82.51,13.51,,,
576.89,2624.42,75,8,-90.22,2.9,,,
-192.67,2628.48,75,1,-81.29,13.07,,,
-230.01,2631.59,75,1,-85.76,11.13,,,
-31.29,2633.02,75,1,-77.25,15.35,,,
173.21,2633.16,75,8,-89.68,6.21,,,
980.48,2635.51,75,13,-92.3,4.7,,,
778.66,2636.66,75,2,-90.43,8.78,,,
375.88,2636.91,75,2,-83.15,11.97,,,
576.9,2639.32,75,8,-89.12,5.55,,,
-193.83,2643.38,75,1,-81.97,12.1,,,
-229.99,2646.46,75,1,-85.0,11.64,,,
-31.23,2647.93,75,1,-76.79,16.9,,,
173.18,2648.17,75,8,-88.61,6.46,,,
980.47,2650.44,75,13,-94.27,5.28,,,
778.71,2651.63,75,2,-89.86,7.46,,,
375.87,2651.87,75,2,-82.84,11.68,,,
576.9,2654.23,75,8,-90.07,3.75,,,
-195.02,2658.24,75,1,-80.72,12.14,,,
-229.97,2661.37,75,1,-84.02,11.88,,,
-31.15,2662.86,75,1,-77.54,16.56,,,
173.16,2663.07,75,8,-90.58,5.2,,,
980.46,2665.44,75,2,-92.68,10.85,,,
778.74,2666.52,75,2,-91.62,7.69,,,
375.88,2666.84,75,2,-84.41,9.51,,,
576.89,2669.16,75,8,-90.87,3.72,,,
-196.21,2673.09,75,1,-81.01,13.96,,,
-229.96,2676.3,75,1,-85.65,10.86,,,
-31.08,2677.77,75,1,-76.75,17.07,,,
